champion_id,style_id
1,4
1,2
2,1
2,3
3,1
4,2
4,1
5,5
5,6
6,2
6,5
7,5
7,1
8,2
8,6
8,1
9,1
9,5
10,2
10,1
11,2
11,5
11,8
12,2
12,1
13,1
13,5
14,2
14,5
14,3
15,8
15,5
15,6
16,2
16,4
17,5
17,1
18,1
18,2
19,6
19,5
20,4
20,2
20,5
21,2
21,3
21,1
22,1
22,5
22,7
23,2
23,4
24,1
24,4
24,5
25,2
25,3
25,1
26,2
26,4
27,1
27,5
28,4
28,2
29,2
29,1
30,1
30,7
31,1
31,5
32,1
33,3
33,2
34,5
34,1
34,4
35,2
35,7
35,4
36,1
37,5
37,6
37,1
38,1
38,7
38,3
39,2
39,1
39,4
40,3
40,5
40,7
41,5
41,1
41,6
42,2
42,1
43,2
43,4
44,5
44,2
45,2
45,7
45,3
46,3
46,1
46,8
47,4
47,2
47,7
48,2
48,4
49,6
49,8
50,6
50,8
51,5
51,1
52,2
52,7
53,3
53,1
53,7
54,1
54,8
55,2
56,5
56,6
56,2
57,2
57,1
58,2
58,5
59,3
59,6
60,2
60,1
61,1
62,1
63,2
64,1
64,4
65,5
65,1
66,1
67,2
67,8
68,5
68,2
68,7
69,2
69,3
70,1
71,5
71,1
72,5
72,6
73,2
73,5
74,5
74,1
74,6
75,2
75,1
76,6
76,8
77,1
77,3
78,5
78,1
79,2
79,5
80,5
80,6
80,4
81,2
82,8
82,6
83,6
83,8
84,1
84,2
85,5
85,2
86,2
86,4
87,6
87,5
88,1
89,6
89,4
90,4
90,7
90,2
91,5
91,6
92,1
92,5
93,3
93,1
94,2
94,4
94,5
95,5
95,1
96,5
96,4
96,8
97,2
97,4
98,2
98,5
98,8
99,5
99,6
100,1
100,5
101,6
101,5
102,1
102,5
103,1
103,5
104,1
104,7
104,8
105,5
105,6
106,5
106,2
107,5
107,1
108,5
108,6
109,6
109,5
109,8
110,1
110,4
111,1
112,2
112,1
113,2
113,5
114,2
114,7
115,1
115,2
116,5
116,6
117,3
117,4
117,2
118,6
118,3
118,5
119,1
119,5
119,4
120,1
120,7
120,8
121,6
121,7
121,8
122,1
122,2
123,2
123,7
124,5
124,7
125,2
125,3
125,8
126,5
126,6
127,2
127,3
128,4
128,6
128,8
129,4
129,6
130,4
130,2
130,5
131,4
131,1
132,1
132,3
133,6
133,4
134,2
134,3
134,8
135,1
136,6
136,4
136,5
137,3
137,7
138,6
138,5
139,1
139,2
139,7
140,7
140,4
141,2
141,7
141,4
142,8
142,7
142,1
143,2
143,1
144,2
144,4
144,7
145,2
145,4
146,3
146,2
146,1
147,2
147,7
148,1
149,3
149,1
150,1
150,5
151,5
151,1
152,2
152,4
153,2
153,3
153,1
154,4
154,1
154,2
155,4
155,2
155,5
156,4
156,2
157,2
157,6
158,3
158,1
159,5
159,2
160,2
160,1
161,2
161,1
161,5
162,7
162,2
163,2
164,6
164,4
164,8
165,2
165,4
166,5
166,4
167,1
167,7
168,2
169,3
169,7
170,8
170,6
171,1
171,3
172,2
172,3
172,5
