id,lane_id
1,1
1,2
2,3
3,3
3,1
4,3
4,1
5,5
6,1
6,2
6,3
7,2
7,5
8,3
9,3
10,4
11,4
11,5
12,3
12,4
13,3
13,1
14,3
15,5
16,2
17,5
18,5
18,2
18,3
19,5
20,2
21,4
22,1
23,3
24,1
24,3
25,4
26,1
26,2
27,2
27,3
28,1
28,2
29,4
30,2
30,3
31,2
31,5
32,2
33,4
34,2
34,5
35,1
36,3
36,2
37,3
38,1
39,1
39,3
40,1
41,2
41,1
42,2
42,1
43,1
43,2
44,2
45,1
46,3
47,1
48,1
48,3
49,2
50,5
51,2
52,1
52,2
53,1
53,2
53,3
54,4
55,4
56,1
57,4
58,4
59,5
60,2
61,3
62,3
63,1
63,3
64,2
65,1
66,2
67,2
68,1
69,4
70,3
70,5
71,2
72,5
73,2
74,3
75,4
76,5
77,5
77,3
78,1
78,3
78,2
79,3
80,5
80,2
80,1
81,2
82,3
82,5
83,5
84,4
84,5
85,2
85,1
86,1
86,2
87,5
87,3
88,3
88,2
89,5
90,1
90,2
91,5
92,3
92,5
93,2
94,4
95,2
96,2
97,1
98,3
99,1
100,5
100,3
100,1
100,2
101,2
101,1
101,5
102,5
103,3
103,2
104,1
105,5
106,2
107,2
107,1
108,5
109,5
110,1
111,2
112,1
113,1
114,3
114,1
115,4
116,2
117,5
117,4
118,5
118,3
119,1
119,3
120,2
120,5
121,1
122,2
123,1
124,1
124,3
125,4
126,2
127,4
127,3
128,5
129,5
130,5
130,3
130,4
131,3
131,2
132,3
133,5
133,1
134,2
134,3
135,2
135,3
136,5
137,1
137,2
137,5
138,5
139,4
139,3
140,1
140,2
141,1
142,3
143,4
144,2
144,1
145,1
146,4
146,1
147,4
147,1
148,3
148,4
149,5
149,3
150,3
151,2
152,2
153,3
154,3
154,1
155,2
155,1
156,2
156,1
157,4
158,5
158,3
159,2
160,3
160,1
161,3
161,1
162,1
163,4
164,5
165,1
165,2
166,2
166,1
167,3
167,2
168,4
169,4
169,3
170,5
171,3
172,5
172,2
