champion_id,region_id
1,14
2,3
3,3
4,8
5,14
6,2
7,8
8,6
9,14
10,10
11,6
12,10
13,6
14,8
15,14
16,12
17,5
18,14
19,6
20,2
21,4
22,4
23,2
23,8
24,12
25,13
25,4
26,2
27,10
28,5
29,2
30,5
31,2
31,9
32,14
33,4
34,14
35,1
36,7
36,13
37,1
38,7
39,1
40,6
40,13
41,6
42,7
43,9
44,9
45,4
45,13
46,3
47,7
48,3
49,3
50,5
51,1
52,14
53,4
54,3
55,5
56,8
57,12
58,9
59,3
60,9
61,12
62,2
63,1
63,10
64,3
65,3
65,13
66,12
67,14
68,2
68,13
69,12
70,2
71,3
72,10
73,3
74,6
75,1
76,13
77,1
78,11
79,12
80,9
81,3
82,2
82,4
83,11
84,7
85,3
86,2
87,1
87,10
88,8
89,7
90,8
91,7
92,11
93,11
94,7
95,14
96,6
97,6
98,4
99,6
100,10
101,1
101,13
102,7
103,11
104,1
105,3
106,8
107,12
108,2
109,5
110,8
111,11
112,2
112,3
113,13
114,14
115,2
116,6
117,1
117,9
118,4
118,5
119,3
120,14
121,3
122,1
123,5
124,2
125,8
126,11
127,2
128,1
128,3
129,10
130,2
131,1
131,6
132,3
133,7
133,14
134,8
135,2
136,10
137,13
138,9
139,13
140,6
141,6
142,7
143,5
144,6
145,2
145,5
146,14
147,1
148,13
149,12
150,9
150,13
151,4
151,5
152,9
153,5
154,2
155,6
156,5
157,3
158,8
159,1
160,3
161,3
162,9
163,14
164,13
165,14
166,5
167,3
168,5
169,5
169,13
170,8
171,10
172,11
