champion_id,role_id
1,1
2,3
2,4
3,4
4,5
4,4
5,2
5,6
6,1
6,4
7,2
7,6
8,3
9,3
9,6
10,5
11,5
11,6
12,3
13,3
13,4
14,3
14,5
15,6
15,3
16,1
17,2
17,6
18,3
18,6
19,2
19,6
20,1
20,4
21,5
22,1
22,4
23,3
24,2
24,3
25,5
25,3
26,1
26,2
27,1
27,4
28,2
28,1
29,5
30,4
30,3
31,4
31,3
32,4
32,3
33,5
33,3
34,3
34,6
35,1
35,4
36,4
36,1
37,2
37,3
38,1
39,1
39,2
40,1
40,2
41,1
41,3
42,5
43,1
44,1
44,2
45,3
45,6
46,3
46,6
47,1
47,2
48,1
48,4
49,6
49,3
50,6
50,3
51,1
51,2
52,1
53,1
53,5
54,5
54,3
55,5
56,2
56,1
57,5
57,3
58,5
59,3
59,6
60,3
61,4
61,3
62,4
62,3
63,3
63,5
64,1
64,4
65,3
66,4
67,5
68,1
69,5
69,3
70,4
70,3
71,1
71,4
72,2
72,6
73,1
73,3
74,3
75,5
75,4
76,6
76,3
77,3
77,6
78,2
78,3
79,3
80,2
80,6
81,1
81,4
82,3
82,6
83,6
83,3
84,5
84,3
85,1
85,2
86,1
86,3
87,6
87,3
88,4
88,1
89,6
89,3
90,1
90,2
91,2
91,6
92,3
92,6
93,4
93,3
94,1
94,4
95,1
95,4
96,2
96,3
97,1
97,2
98,3
98,6
99,2
100,1
100,4
101,2
101,1
102,6
102,4
103,4
104,5
104,4
105,6
106,2
107,1
107,2
108,2
108,6
109,6
109,3
110,1
110,2
111,4
111,1
112,1
112,4
113,1
113,3
114,3
115,5
115,4
116,2
117,6
117,5
118,6
118,3
119,1
119,2
120,4
121,2
122,1
122,3
123,2
123,3
124,2
124,1
125,5
126,2
126,1
127,5
127,3
128,6
128,3
129,6
129,3
130,3
130,6
131,3
131,4
132,3
133,2
133,6
134,3
134,6
135,4
136,6
136,2
137,5
137,3
138,6
138,2
139,5
139,4
140,1
140,2
141,1
141,4
142,3
142,5
143,5
143,4
144,1
144,2
145,1
145,2
146,5
146,3
147,5
147,4
148,3
149,3
149,6
150,3
151,1
151,4
152,1
152,4
153,3
154,3
154,1
155,1
155,2
156,1
156,2
157,5
158,3
158,6
159,1
159,2
160,1
160,4
161,1
161,4
162,1
162,2
163,5
164,6
164,3
165,1
165,4
166,2
166,1
167,4
168,5
169,3
170,6
170,3
171,3
172,3
172,6
