champion_id,visual_id
1,18
1,6
1,22
1,23
1,27
2,3
2,19
2,20
2,28
3,1
3,21
3,23
3,28
4,1
4,21
4,27
5,15
5,17
5,22
5,26
5,27
6,1
6,22
6,25
6,28
7,2
7,9
7,19
7,27
8,17
8,8
8,25
8,28
9,1
9,19
9,24
9,28
10,1
10,21
10,23
10,27
11,1
11,20
11,25
11,28
12,12
12,13
12,25
12,27
13,3
13,19
13,20
13,28
14,5
14,25
14,27
15,13
15,19
15,29
16,4
16,24
16,25
16,28
17,10
17,19
17,22
17,29
18,1
18,8
18,23
18,27
19,1
19,19
19,22
19,27
20,18
20,19
20,24
20,26
20,28
21,1
21,20
21,21
21,28
22,1
22,11
22,20
22,23
22,28
23,18
23,20
23,24
23,28
24,4
24,24
24,29
25,2
25,22
25,27
26,1
26,22
26,23
26,27
27,1
27,13
27,20
27,23
27,28
28,1
28,18
28,22
28,24
28,27
29,1
29,21
29,22
29,27
30,1
30,21
30,27
31,1
31,18
31,20
31,24
31,28
32,7
32,20
32,23
32,24
32,28
33,1
33,19
33,21
33,27
34,7
34,24
34,29
35,1
35,20
35,21
35,28
36,2
36,17
36,19
36,26
36,27
37,10
37,22
37,25
37,27
38,1
38,22
38,23
38,27
39,1
39,21
39,22
39,27
40,2
40,18
40,19
40,26
40,27
41,1
41,22
41,26
41,27
42,1
42,21
42,22
42,27
43,8
43,19
43,20
43,28
44,9
44,24
44,27
45,2
45,19
45,27
46,1
46,21
46,23
46,27
47,1
47,22
47,26
47,28
48,1
48,20
48,28
49,8
49,19
49,25
49,27
50,8
50,20
50,28
51,1
51,21
51,25
51,27
52,14
52,22
52,27
53,1
53,21
53,27
54,1
54,21
54,23
54,24
54,27
55,1
55,19
55,23
55,26
55,28
56,1
56,21
56,22
56,27
57,1
57,4
57,20
57,23
57,28
58,9
58,23
58,24
58,28
59,1
59,20
59,25
59,28
60,9
60,24
60,27
61,1
61,4
61,23
61,27
62,1
62,20
62,23
62,28
63,1
63,13
63,20
63,25
63,28
64,1
64,6
64,21
64,23
64,27
65,2
65,19
65,27
66,4
66,23
66,24
66,29
67,8
67,24
67,29
68,2
68,26
68,27
69,4
69,19
69,24
69,29
70,1
70,20
70,23
70,28
71,1
71,21
71,22
71,27
72,1
72,13
72,20
72,22
72,25
72,28
73,3
73,19
73,20
73,28
74,1
74,20
74,24
74,25
74,28
75,1
75,21
75,23
75,27
76,2
76,19
76,28
77,1
77,19
77,20
77,28
78,10
78,22
78,27
79,1
79,4
79,23
79,24
79,27
80,8
80,24
80,27
81,1
81,21
81,23
81,27
82,1
82,20
82,25
82,28
83,1
83,19
83,27
84,1
84,20
84,28
85,3
85,21
85,26
85,27
86,9
86,23
86,25
86,27
87,1
87,13
87,20
87,23
87,28
88,17
88,6
88,24
88,26
88,28
89,3
89,19
89,20
89,28
90,5
90,22
90,25
90,27
91,9
91,10
91,24
91,27
92,3
92,19
92,28
93,1
93,17
93,20
93,26
93,28
94,1
94,19
94,20
94,28
95,7
95,23
95,24
95,29
96,1
96,18
96,19
96,27
97,1
97,22
97,26
97,27
98,11
98,20
98,24
98,28
99,8
99,22
99,25
99,27
100,1
100,13
100,22
100,25
100,27
101,2
101,19
101,22
101,28
102,1
102,9
102,23
102,24
102,27
103,1
103,19
103,20
103,28
104,1
104,20
104,21
104,28
105,3
105,21
105,27
106,17
106,18
106,19
106,27
107,4
107,24
107,26
107,28
108,1
108,22
108,23
108,28
109,1
109,20
109,23
109,25
109,28
110,5
110,26
110,27
111,3
111,17
111,23
111,26
111,27
112,1
112,21
112,23
112,28
113,2
113,11
113,27
114,1
114,25
114,27
115,1
115,20
115,21
115,26
115,28
116,1
116,17
116,22
116,26
116,28
117,1
117,9
117,20
117,23
117,28
118,1
118,19
118,20
118,28
119,3
119,21
119,22
119,27
120,7
120,23
120,24
120,27
121,1
121,21
121,27
122,1
122,12
122,20
122,26
122,28
123,1
123,23
123,24
123,27
124,9
124,22
124,24
124,27
125,1
125,20
125,28
126,16
126,24
126,27
127,12
127,19
127,27
128,1
128,20
128,28
129,13
129,19
129,20
129,28
130,1
130,23
130,24
130,25
130,27
131,1
131,22
131,23
131,26
131,27
132,1
132,20
132,23
132,25
132,28
133,7
133,24
133,27
134,1
134,19
134,28
135,1
135,21
135,23
135,27
136,1
136,13
136,21
136,25
136,27
137,2
137,19
137,27
138,9
138,23
138,24
138,27
139,2
139,19
139,28
140,14
140,22
140,24
140,27
141,1
141,22
141,26
141,27
142,1
142,21
142,23
142,27
143,18
143,24
143,27
144,1
144,22
144,26
144,27
145,1
145,11
145,22
145,24
145,27
146,1
146,6
146,21
146,23
146,27
147,1
147,20
147,21
147,23
147,28
148,2
148,19
148,23
148,27
149,4
149,24
149,29
150,2
150,19
150,23
150,28
151,1
151,21
151,22
151,28
152,1
152,9
152,21
152,23
152,27
153,1
153,11
153,23
153,24
153,27
154,1
154,20
154,23
154,24
154,27
155,17
155,8
155,22
155,25
155,26
155,27
156,1
156,18
156,24
156,26
156,27
157,3
157,20
157,23
157,28
158,5
158,25
158,27
159,1
159,21
159,22
159,27
160,1
160,21
160,23
160,27
161,1
161,9
161,7
161,21
161,23
161,27
162,1
162,9
162,23
162,24
162,27
163,1
163,19
163,20
163,28
164,17
164,19
164,28
165,1
165,6
165,22
165,23
165,27
166,18
166,19
166,27
167,1
167,21
167,23
167,27
168,1
168,19
168,26
168,28
169,2
169,19
169,26
169,27
170,1
170,25
170,27
171,1
171,13
171,19
171,28
172,18
172,20
172,24
172,28
