id,champ_key,name,title,difficulty,range_type,damage_primary,resource_type,image_path,splash_path,loading_path,tile_path
1,Aatrox,エイトロックス,ダーキンの暴剣,2,Melee,Physical,ブラッドウェル,/img/champion/Aatrox.png,/img/splash/Aatrox_0.jpg,/img/loading/Aatrox_0.jpg,/img/tiles/Aatrox_0.jpg
2,Ahri,アーリ,九尾の狐,2,Ranged,Magic,マナ,/img/champion/Ahri.png,/img/splash/Ahri_0.jpg,/img/loading/Ahri_0.jpg,/img/tiles/Ahri_0.jpg
3,Akali,アカリ,主なき暗殺者,2,Melee,Magic,気,/img/champion/Akali.png,/img/splash/Akali_0.jpg,/img/loading/Akali_0.jpg,/img/tiles/Akali_0.jpg
4,Akshan,アクシャン,流浪の番人,1,Ranged,Physical,マナ,/img/champion/Akshan.png,/img/splash/Akshan_0.jpg,/img/loading/Akshan_0.jpg,/img/tiles/Akshan_0.jpg
5,Alistar,アリスター,ミノタウロスの戦士,2,Melee,Magic,マナ,/img/champion/Alistar.png,/img/splash/Alistar_0.jpg,/img/loading/Alistar_0.jpg,/img/tiles/Alistar_0.jpg
6,Ambessa,アンベッサ,戦乱の母,3,Melee,Physical,気,/img/champion/Ambessa.png,/img/splash/Ambessa_0.jpg,/img/loading/Ambessa_0.jpg,/img/tiles/Ambessa_0.jpg
7,Amumu,アムム,めそめそミイラ,1,Melee,Magic,マナ,/img/champion/Amumu.png,/img/splash/Amumu_0.jpg,/img/loading/Amumu_0.jpg,/img/tiles/Amumu_0.jpg
8,Anivia,アニビア,氷の不死鳥,3,Ranged,Magic,マナ,/img/champion/Anivia.png,/img/splash/Anivia_0.jpg,/img/loading/Anivia_0.jpg,/img/tiles/Anivia_0.jpg
9,Annie,アニー,闇の申し子,2,Ranged,Magic,マナ,/img/champion/Annie.png,/img/splash/Annie_0.jpg,/img/loading/Annie_0.jpg,/img/tiles/Annie_0.jpg
10,Aphelios,アフェリオス,信ずる者の武器,3,Ranged,Physical,マナ,/img/champion/Aphelios.png,/img/splash/Aphelios_0.jpg,/img/loading/Aphelios_0.jpg,/img/tiles/Aphelios_0.jpg
11,Ashe,アッシュ,氷の射手,2,Ranged,Physical,マナ,/img/champion/Ashe.png,/img/splash/Ashe_0.jpg,/img/loading/Ashe_0.jpg,/img/tiles/Ashe_0.jpg
12,AurelionSol,オレリオン・ソル,星を創りし者,2,Ranged,Magic,マナ,/img/champion/AurelionSol.png,/img/splash/AurelionSol_0.jpg,/img/loading/AurelionSol_0.jpg,/img/tiles/AurelionSol_0.jpg
13,Aurora,オーロラ,世界の狭間の魔女,2,Ranged,Magic,マナ,/img/champion/Aurora.png,/img/splash/Aurora_0.jpg,/img/loading/Aurora_0.jpg,/img/tiles/Aurora_0.jpg
14,Azir,アジール,砂塵の皇帝,3,Ranged,Magic,マナ,/img/champion/Azir.png,/img/splash/Azir_0.jpg,/img/loading/Azir_0.jpg,/img/tiles/Azir_0.jpg
15,Bard,バード,流離いの庇護者,3,Ranged,Magic,マナ,/img/champion/Bard.png,/img/splash/Bard_0.jpg,/img/loading/Bard_0.jpg,/img/tiles/Bard_0.jpg
16,Belveth,ベル＝ヴェス,ヴォイドの女帝,3,Melee,Physical,,/img/champion/Belveth.png,/img/splash/Belveth_0.jpg,/img/loading/Belveth_0.jpg,/img/tiles/Belveth_0.jpg
17,Blitzcrank,ブリッツクランク,偉大なるスチームゴーレム,2,Melee,Magic,マナ,/img/champion/Blitzcrank.png,/img/splash/Blitzcrank_0.jpg,/img/loading/Blitzcrank_0.jpg,/img/tiles/Blitzcrank_0.jpg
18,Brand,ブランド,復讐の炎,2,Ranged,Magic,マナ,/img/champion/Brand.png,/img/splash/Brand_0.jpg,/img/loading/Brand_0.jpg,/img/tiles/Brand_0.jpg
19,Braum,ブラウム,フレヨルドの漢気,1,Melee,Magic,マナ,/img/champion/Braum.png,/img/splash/Braum_0.jpg,/img/loading/Braum_0.jpg,/img/tiles/Braum_0.jpg
20,Briar,ブライアー,枷と飢え,1,Melee,Physical,フューリー,/img/champion/Briar.png,/img/splash/Briar_0.jpg,/img/loading/Briar_0.jpg,/img/tiles/Briar_0.jpg
21,Caitlyn,ケイトリン,ピルトーヴァーの保安官,2,Ranged,Physical,マナ,/img/champion/Caitlyn.png,/img/splash/Caitlyn_0.jpg,/img/loading/Caitlyn_0.jpg,/img/tiles/Caitlyn_0.jpg
22,Camille,カミール,スチールシャドウ,2,Melee,Physical,マナ,/img/champion/Camille.png,/img/splash/Camille_0.jpg,/img/loading/Camille_0.jpg,/img/tiles/Camille_0.jpg
23,Cassiopeia,カシオペア,毒蛇の抱擁,3,Ranged,Magic,マナ,/img/champion/Cassiopeia.png,/img/splash/Cassiopeia_0.jpg,/img/loading/Cassiopeia_0.jpg,/img/tiles/Cassiopeia_0.jpg
24,Chogath,チョ＝ガス,未知なる恐怖,2,Melee,Magic,マナ,/img/champion/Chogath.png,/img/splash/Chogath_0.jpg,/img/loading/Chogath_0.jpg,/img/tiles/Chogath_0.jpg
25,Corki,コーキ,豪気の爆撃手,2,Ranged,Physical,マナ,/img/champion/Corki.png,/img/splash/Corki_0.jpg,/img/loading/Corki_0.jpg,/img/tiles/Corki_0.jpg
