id,champion_id,slot,name,description,image_path
1,1,P,死兆の構え,一定時間ごとに、次の通常攻撃が対象の最大体力に応じた追加<magicDamage>魔法ダメージ</magicDamage>を与え、同量の体力を回復する。 ,/img/spell/Aatrox_Passive.png
2,1,Q,ダーキンブレード,大剣を叩きつけて物理ダメージを与える。剣を3回振ることが可能で、振るごとに効果範囲が変化する。,/img/spell/AatroxQ.png
3,1,W,炎獄の鎖,地面を叩きつけて、最初に命中した敵にダメージを与える。チャンピオンと大型モンスターは数秒以内に攻撃範囲から出なければ、中央に引き寄せられて再度ダメージを受ける。,/img/spell/AatroxW.png
4,1,E,影進撃,自動効果として、敵チャンピオンにダメージを与えると体力が回復する。発動すると、指定方向に向かってダッシュする。,/img/spell/AatroxE.png
5,1,R,ワールドエンダー,悪魔形態を解放して周囲の敵ミニオンにフィアー効果を与え、攻撃力、回復量、移動速度が増加する。キルまたはアシストを獲得した場合、この効果が延長される。,/img/spell/AatroxR.png
6,2,P,生気吸引,ミニオンまたはモンスターを9体キルすると体力が回復する。<br>敵チャンピオンからキルまたはアシストを奪うと体力が大幅に回復する。,/img/spell/Ahri_SoulEater2.png
7,2,Q,幻惑のオーブ,往復するオーブを放ち、命中した敵に魔法ダメージを与える。戻る時に与えるダメージは確定ダメージになる。 ,/img/spell/AhriQ.png
8,2,W,フォックスファイア,少しの間だけ移動速度が増加し、近くにいる敵を自動的に攻撃する、3つの狐火を放つ。,/img/spell/AhriW.png
9,2,E,チャーム,投げキッスを放ち、最初に触れた敵にダメージとチャーム効果を与える。チャームされた敵は何もできなくなってアーリに引き寄せられ、発動中の移動スキルもただちに無効になる。,/img/spell/AhriE.png
10,2,R,スピリットラッシュ,ダッシュしてエネルギーを放ち、周囲にいる敵にダメージを与える。「スピリットラッシュ」はクールダウンに入るまでの間に、最大3回使用できる。敵チャンピオンからキルまたはアシストを奪うと、再発動可能な回数が増える。,/img/spell/AhriR.png
11,3,P,刺客の刻印,チャンピオンにスキルでダメージを与えると対象の周囲に気の輪が形成される。輪の外に出るとアカリの次の通常攻撃の射程とダメージが増加する。,/img/spell/Akali_P.png
12,3,Q,五連苦無,5本のくないを投げて自身の増加攻撃力と魔力に応じたダメージを与えてスロウ効果を与える。,/img/spell/AkaliQ.png
13,3,W,黄昏の帳,姿を隠すための煙幕を張り、少しの間だけ移動速度が増加する。「帳」の中ではインビジブル状態になり、敵のスキルや通常攻撃で対象指定されなくなる。通常攻撃を行うかスキルを使用すると一時的に可視化される。,/img/spell/AkaliW.png
14,3,E,翻身手裏剣,後方に宙返りして前方に手裏剣を投げ、魔法ダメージを与える。最初に当たった敵または煙幕はマークされる。再発動するとマークされた対象までダッシュして追加でダメージを与える。,/img/spell/AkaliE.png
15,3,R,完遂,指定方向に跳躍して攻撃した敵にダメージを与える。<br><br>再発動: 指定方向にダッシュして、攻撃したすべての敵に対象の減少体力に応じたダメージを与える。,/img/spell/AkaliR.png
16,4,P,ダーティーファイト,通常攻撃かスキルを3回使用するごとに追加ダメージを与え、対象がチャンピオンだった場合はシールドを獲得する。<br><br>通常攻撃時に追加で通常攻撃を行う。ただし、その際のダメージは低下する。追加の通常攻撃をキャンセルすると、代わりに移動速度が増加する。,/img/spell/akshan_p.png
17,4,Q,報復のブーメラン,ブーメランを投げる。ブーメランは往路と復路でダメージを与え、敵に命中するたびに射程が増加する。,/img/spell/AkshanQ.png
18,4,W,義賊の流儀,自動効果で味方チャンピオンを倒した敵チャンピオンを「悪党」としてマークする。自分が「悪党」をキルすると、その「悪党」にキルされていた味方が復活し、追加ゴールドを獲得する。その際、すべてのマークが除去される。<br><br>発動するとカモフラージュ状態になり、「悪党」に向かっている間は移動速度とマナ自動回復が増加する。茂みの外に出るか地形から離れると、カモフラージュ状態がすぐに解除される。,/img/spell/AkshanW.png
19,4,E,ヒーロースイング,地形に向けてグラップルフックを発射し、その周囲をスイングしながら最も近い敵に繰り返し射撃を行う。チャンピオンか地形に衝突すると、その時点で飛び降りる。自ら早めに飛び降りることもできる。,/img/spell/AkshanE.png
20,4,R,当然の報い,敵チャンピオンをロックオンして弾丸のチャージを開始する。チャージ終了時にすべての弾丸を発射し、最初に命中したチャンピオン、ミニオン、または建造物に減少体力に応じたダメージを与える。,/img/spell/AkshanR.png
21,5,P,戦士の咆哮,敵チャンピオンをスタンさせるか弾き飛ばした時、または周囲で敵ユニットが倒されると「咆哮」をチャージする。最大までチャージされると自身および近くにいるすべての味方チャンピオンの体力を回復する。,/img/spell/Alistar_E.png
22,5,Q,圧砕,地面をたたきつけ、周囲にいる敵ユニットにダメージを与えてノックアップする。,/img/spell/Pulverize.png
23,5,W,頭突き,対象に「頭突き」を食らわせてダメージを与え、ノックバックさせる。,/img/spell/Headbutt.png
24,5,E,踏破,周囲の敵を踏みつけてユニットをすり抜けるようになる。これでチャンピオンにダメージを与えた場合、スタックを1つ獲得。スタックが最大になるとチャンピオンに対する次の通常攻撃に追加魔法ダメージとスタン効果を付与する。,/img/spell/AlistarE.png
25,5,R,不屈の意志,荒々しい雄叫びをあげ、自身に付与された行動妨害効果をすべて解除する。効果時間中は自身が受ける物理ダメージと魔法ダメージを軽減する。,/img/spell/FerociousHowl.png
26,6,P,ドレイクハウンドの猛攻,スキルを発動中に通常攻撃または移動操作をすると、スキル発動後に短い距離をダッシュして、次の通常攻撃の射程距離、ダメージ、攻撃速度が増加し、気を回復する。,/img/spell/Icon_Ambessa_Passive.Domina.png
27,6,Q,カニングスイープ/サンダリングスラム,両手のドレイクハウンドを自身の前方に向かって半円状に振り回し、刃が当たった敵に追加ダメージを与える。敵に攻撃が命中すると、次に発動するこのスキルが短時間変化し、自身の前方に向かって両手のドレイクハウンドを直線状に叩きつけ、最初に命中した敵に追加ダメージを与える。,/img/spell/AmbessaQ.png
28,6,W,断交,シールドを獲得し、少しの間身構えた後地面を叩きつけて周囲の敵にダメージを与える。身構えている間にミニオン以外からのダメージをブロックしていた場合、このスキルの与えるダメージが増加する。,/img/spell/AmbessaW.png
29,6,E,ラセレイト,両手のドレイクハウンドを自身の周囲に振り回し、付近の敵にダメージとスロウ効果を与える。このスキルから「ドレイクハウンドの猛攻」を発動すると、ダッシュ終了後にもう一度攻撃する。,/img/spell/AmbessaE.png
30,6,R,公開処刑,指定した直線上の最も遠い敵チャンピオンの場所までブリンクし、到着時に敵にサプレッション効果を付与する。その後、敵を地面に叩きつけ、ダメージを与えスタンさせる。,/img/spell/AmbessaR.png
31,7,P,呪いの手,通常攻撃で敵に<font color='#9b0f5f'>「呪い」</font>をかける。呪われた対象は、魔法ダメージを受ける際に追加確定ダメージを受けるようになる。,/img/spell/Amumu_Passive.png
32,7,Q,絡みつく包帯,指定方向にべとべとの包帯を投げつける。敵に当たるとダメージとスタンを与え、包帯をたぐって相手の近くに素早く移動する。,/img/spell/BandageToss.png
33,7,W,めそめそ,涙を流し、触れた敵に最大体力の一定割合のダメージを毎秒与え、対象に付与された<font color='#9b0f5f'>「呪い」</font>の効果時間を更新する。,/img/spell/AuraofDespair.png
34,7,E,だだっこ,敵から受ける物理ダメージを恒久的に軽減する。発動して怒りを爆発させると、周囲の敵にダメージを与える。自身が攻撃を受けるたびに「だだっこ」のクールダウンが短縮される。,/img/spell/Tantrum.png
35,7,R,めそめそミイラの呪い,周囲の敵ユニットを包帯で拘束して<keywordMajor>「呪い」</keywordMajor>を付与する。さらにダメージを与えてスタンさせる。,/img/spell/CurseoftheSadMummy.png
36,8,P,再誕,アニビアは力尽きると、体力が最大の状態で卵に戻る。,/img/spell/Anivia_P.png
37,8,Q,フラッシュフロスト,指定方向に両翼で力強く羽ばたいて、氷の塊を放つ。氷は触れた敵に魔法ダメージと「チルド」を与える。最大距離に達するかこのスキルを再使用すると氷の塊が炸裂して、範囲内の敵にダメージとスタンを与える。,/img/spell/FlashFrost.png
38,8,W,アイスウォール,空気中の水分を凝縮して氷の壁をつくり、相手の移動を妨害する。壁は数秒後に溶けて消滅する。,/img/spell/Crystallize.png
39,8,E,フロストバイト,翼をはためかせて対象を凍てつく氷柱で攻撃し、ダメージを与える。直前に「フラッシュフロスト」が当たったか、最大範囲の「ブリザード」でダメージを受けた対象には、2倍のダメージを与える。,/img/spell/Frostbite.png
40,8,R,ブリザード,指定範囲に激しい吹雪を召喚する。吹雪は範囲内の敵に継続ダメージを与え「チルド」を付与する。,/img/spell/GlacialStorm.png
41,9,P,火遊びだいすき,スキルを4回使用すると、次に行う攻撃スキルが対象をスタンさせる。<br><br>試合開始時および復活時は「火遊びだいすき」が使用可能な状態でスタートする。,/img/spell/Annie_Passive.png
42,9,Q,ファイアボール,火の玉を放って、指定した対象にダメージを与える。このスキルで敵ユニットを倒すと、消費したマナが回復しクールダウンが短縮する。,/img/spell/AnnieQ.png
43,9,W,バーニングファイア,指定方向に扇状の炎を放ち、範囲内のすべての敵ユニットにダメージを与える。,/img/spell/AnnieW.png
44,9,E,モルテンシールド,自身または味方1体にシールドを付与し、移動速度が一時的に上昇する。また、通常攻撃かスキルで自身を攻撃した敵にダメージを与える。,/img/spell/AnnieE.png
45,9,R,やっちゃえ！ティバーズ！,クマのティバーズを召喚し、範囲内の敵ユニットにダメージを与える。召喚されたティバーズは敵ユニットを攻撃し、身にまとう炎で周囲にいる敵に継続ダメージを与える。,/img/spell/AnnieR.png
46,10,P,殺す者と導く者,アフェリオスは妹のアルーンが作った5種類のルナリ武器を使って戦う。一度に2種類の武器を保持でき、1つはメインハンド、もう1つはオフハンドに装備する。各武器にはそれぞれ独自の通常攻撃とスキルがある。通常攻撃とスキルは各武器の弾薬を消費する。弾薬が切れるとアフェリオスはその武器を捨て、5種類あるうちの次の武器をアルーンが召喚する。 ,/img/spell/ApheliosP.png
47,10,Q,武器ごとのスキル,アフェリオスには、メインハンド武器に応じて変化する5種類の発動スキルがある:<br><br>キャリブラム(ライフル): 長射程攻撃で対象をマークして再度長射程から攻撃する。<br>セヴェラム(鎌型ピストル): 素早く走りながら近くの敵を両方の武器で攻撃する。<br>グラヴィタム(キャノン): この武器のスロウ効果を受けているすべての敵にスネア効果を付与する。<br>インファーナム(火炎放射器): 扇状範囲内の敵に炎を浴びせ、対象をオフハンド武器で攻撃する。<br>クレッシェンダム(チャクラム): オフハンド武器を搭載したセントリーを設置する。<br>,/img/spell/ApheliosQ_ClientTooltipWrapper.png
48,10,W,フェーズ,メインハンド武器とオフハンド武器を切り替え、通常攻撃および発動スキルを変化させる。,/img/spell/ApheliosW.png
49,10,E,武器キューシステム,アフェリオスには3つ目のスキルがない。このスロットにはアルーンから次に渡される武器が表示される。武器の登場順は固定だが、試合を進める過程で順番を入れ替えることはできる。弾が切れた武器は順番の最後に回される。,/img/spell/ApheliosE_ClientTooltipWrapper.png
50,10,R,月光の祈り,凝縮された月光のエネルギーを発射する。月光は敵チャンピオンに命中すると爆発する。メインハンド武器に応じて異なる効果を適用する。,/img/spell/ApheliosR.png
51,11,P,フロストショット,通常攻撃が命中した対象にスロウ効果を付与する。さらにその対象に通常攻撃をすると、ダメージが増加する。<br><br>アッシュのクリティカルは追加ダメージを一切与えない代わりに、対象により強力なスロウ効果を付与する。,/img/spell/Ashe_P.png
52,11,Q,レンジャーフォーカス,通常攻撃によって「フォーカス」のスタックがたまるようになり、スタックが最大になるとすべて消費して「レンジャーフォーカス」を使用できる。効果時間中は攻撃速度が増加し、通常攻撃が強力な「疾風の矢」に変化する。,/img/spell/AsheQ.png
53,11,W,ボレー,矢を扇状に発射し、命中した敵にダメージを与える。同時に、命中した相手に「フロストショット」のレベルに応じたスロウ効果を付与する。,/img/spell/Volley.png
54,11,E,スカウトホーク,マップ上の指定した地点へ「ホークスピリット」を放ち、視界を確保することができる。,/img/spell/AsheSpiritOfTheHawk.png
55,11,R,クリスタルアロー,アッシュが一直線に飛翔する氷の矢を放つ。最初に命中した敵チャンピオンにダメージを与え、飛距離に応じたスタン効果を付与する。氷の矢は砕けると同時に周囲の敵ユニットにもダメージを与え、移動速度を低下させる。,/img/spell/EnchantedCrystalArrow.png
56,12,P,宇宙の創造者,攻撃スキルを敵に命中させると、<font color='#3458eb'>「星屑」</font>のスタックを獲得できる。このスタックは各スキルを恒久的に強化する。 ,/img/spell/AurelionSolP.png
57,12,Q,星炎の息吹,数秒間詠唱して炎を吹き出し、最初に命中した敵にダメージを与え、その周囲の敵にはそれよりも少ないダメージを与える。敵に直接炎を吹きかけている間は、毎秒追加ダメージを与える。このダメージは獲得した「星屑」の数に応じて増加する。このスキルの対象がチャンピオンだった場合、「星屑」を獲得できる。,/img/spell/AurelionSolQ.png
58,12,W,天空への飛翔,飛翔して、指定方向に地形を超えて移動する。飛翔している間も、他のスキルを発動できる。また、飛翔中は「星炎の呼吸」のクールダウンおよび最大詠唱時間がなくなり、与えるダメージが増加する。<br><br>自身がダメージを与えた敵チャンピオンがその直後に倒されるたびに、このスキルの残りクールダウンが短縮される。<br><br>獲得した「星屑」の数に応じて、このスキルの最大射程が増加する。,/img/spell/AurelionSolW.png
59,12,E,特異点,ブラックホールを召喚して敵にダメージを与え、ゆっくりとその中心に向かって引き寄せる。敵がブラックホールの範囲内で倒されるたびに、「星屑」を獲得する。また、敵チャンピオンを範囲内に捕らえている間も、毎秒「星屑」を獲得できる。ブラックホールの中心部は、体力が最大体力の一定割合を下回っている敵に、とどめを刺すことができる。「星屑」の数に応じて「特異点」の効果範囲が増加し、とどめを刺せる体力割合の基準値が上昇する。,/img/spell/AurelionSolE.png
60,12,R,星の邂逅/崩れ落つ天穹,星の邂逅: 地上に星を降らせ、その衝撃で敵に魔法ダメージを与えて、スタンさせる。また、命中した敵チャンピオン1体ごとに「星屑」を獲得する。「星屑」を一定数獲得すると、次に使用する「星の邂逅」が「崩れ落つ天穹」に変化する。<br><br>崩れ落つ天穹: 天空から巨大な星を引き寄せる。この星は落下時の効果範囲とダメージが増加しており、敵をスタンではなくノックアップさせる。また、落下時の効果範囲の端から衝撃波が広がり、命中した敵にダメージとスロウ効果を与える。獲得した「星屑」の数に応じて、「星の邂逅」と「崩れ落つ天穹」は落下時の効果範囲が増加する。,/img/spell/AurelionSolR.png
61,13,P,精霊の解放,スキルおよび通常攻撃で敵にダメージを与えると、その敵を祓い、精霊を解放する。解放された精霊はオーロラの背後に付いてまわり、オーロラの体力を回復する。,/img/spell/AuroraPassive.Aurora.png
62,13,Q,折れ重なる魔法,呪いの塊を放ち、それが触れたすべての敵に呪いをかける。スキルを再発動すると呪いを自身のもとへ呼び戻し、その際に触れた敵にダメージを与える。,/img/spell/AuroraQ.png
63,13,W,ベールを越えて,指定方向に飛び跳ね、着地時に精霊界に入って、少しの間、インビジブル状態になり、移動速度が増加する。,/img/spell/AuroraW.png
64,13,E,ウィアーディング,二つの領域を融合し、激しくほとばしる精霊魔法を放つ。敵に魔法ダメージとスロウ効果を与え、自身は安全を確保するために後方に飛び跳ねる。,/img/spell/AuroraE.png
65,13,R,世界の狭間,指定方向に飛び跳ね、波動を放ち、それが触れたすべての敵にダメージとスロウ効果を与える。その後、敵にスロウ効果を与えるエリアを作り出し、自身はそのエリアの端から別の端にテレポートできるようになる。,/img/spell/AuroraR.png
66,14,P,シュリーマの遺産,アジールは敵や味方のタワーの残骸から「太陽の円盤」を召喚できる。,/img/spell/Azir_Passive.png
67,14,Q,征服の勅命,すべての砂塵兵を指定地点に集結させる。砂塵兵は進路上でぶつかった全ての敵ユニットに、魔法ダメージと1秒間のスロウ効果を与える。,/img/spell/AzirQWrapper.png
68,14,W,目覚めよ！,アジールに代わって敵を攻撃する砂塵兵を1体召喚する。砂塵兵の射程距離内にいる対象にアジールが通常攻撃をすると、砂塵兵が対象の敵に向かって槍を突く。砂塵兵は直線上にいる敵ユニットすべてに魔法ダメージを与える。,/img/spell/AzirW.png
69,14,E,流砂の衝撃,アジールが少しの間だけシールドを獲得して、指定した砂塵兵に向かってダッシュし、触れた敵ユニットにダメージを与える。敵チャンピオンに衝突するとその場で停止し、直ちに新たな砂塵兵のチャージを獲得する。,/img/spell/AzirEWrapper.png
70,14,R,皇帝の分砂嶺,兵士たちの壁を召喚する。兵士たちは前方に突進し、衝突した敵にダメージとノックバックを与えたあと、その場で敵の進行を防ぐ壁となる。,/img/spell/AzirR.png
71,15,P,旅人の呼び声,<font color='#FF9900'>ミィプ:</font> ミィプと呼ばれる精霊を呼び寄せて通常攻撃を支援させ、追加魔法ダメージを与える。一定数の<font color='#cccc00'>チャイム</font>を集めると、ミィプの攻撃が範囲攻撃になり、命中した敵にスロウ効果も与えるようになる。<br><br><font color='#FF9900'>いにしえの鐘:</font> 古代の<font color='#cccc00'>チャイム</font>がランダムに出現し、回収するたびに経験値を獲得して、マナが回復するほか、非戦闘時の移動速度が増加する。,/img/spell/Bard_Passive.png
72,15,Q,宇宙の法則,魔法のエネルギーを発射し、最初に命中した敵にスロウを与える。貫通したエネルギーが壁に当たった場合は最初の対象が、別の敵ユニットに当たった場合は両方の対象がスタン状態になる。,/img/spell/BardQ.png
73,15,W,回復の遺物,体力を回復する遺物を出現させる。遺物は短時間徐々に効果が増大し、最初に触れた味方の体力を回復して移動速度を増加させると消滅する。,/img/spell/BardW.png
74,15,E,精霊の旅路,付近の地形に一方通行の魔法のトンネルを出現させる。敵も味方も同じようにトンネルを通り抜けられるが、レベルに応じて味方が通り抜ける速度は増加する。,/img/spell/BardE.png
75,15,R,運命の調律,精霊の魔力を放つ。魔力は放物線を描いて飛んでいき、着弾と同時に範囲内のすべてのユニットとタワーをしばらく停止させる。,/img/spell/BardR.png
76,16,P,死のラベンダー,大型ミニオン、大型モンスター、チャンピオンからキルまたはアシストを獲得すると、攻撃速度のスタックを恒久的に獲得する。また、スキル使用後に一時的に攻撃速度が増加する。,/img/spell/Belveth_Passive.png
77,16,Q,ヴォイドサージ,選択した方向にダッシュして、接触したすべての敵にダメージを与える。,/img/spell/BelvethQ.png
78,16,W,天と地,尻尾を地面に叩きつけ、敵にダメージを与えてノックアップさせ、スロウ効果を付与する。,/img/spell/BelvethW.png
79,16,E,ロイヤルストーム,その場で動きを止めて自身の周囲に強烈な嵐を召喚し、最も体力の低い敵を切り裂いて、ライフスティールとダメージ軽減効果を獲得する。,/img/spell/BelvethE.png
80,16,R,終わりなき晩餐,ヴォイドの珊瑚の残片を吸収し、真の姿に変身して最大体力、射程距離、攻撃速度、非戦闘時の移動速度が増加する。ヴォイド出身のエピックモンスターが残したヴォイドの珊瑚の残片を吸収すると、アルティメットスキルの効果時間が増加し、ヴォイドのコバンザメを召喚できるようになる。,/img/spell/BelvethR.png
81,17,P,マナバリア,体力が低下すると、マナの量に応じたシールドを獲得する。,/img/spell/Blitzcrank_ManaBarrier.png
82,17,Q,ロケットグラブ,指定方向に右手を発射する。最初に触れた敵ユニットを掴んでダメージを与え、スタン効果を付与して自身のそばに引き寄せる。,/img/spell/RocketGrab.png
83,17,W,オーバードライブ,エネルギーをスーパーチャージして、移動速度と攻撃速度を大幅に上げる。効果終了後、エネルギーが切れて一時的にスロウ状態になる。,/img/spell/Overdrive.png
84,17,E,パワーフィスト,拳にエネルギーを充填して次の通常攻撃のダメージを2倍にし、対象をノックアップする。,/img/spell/PowerFist.png
