id,visual_name,category
1,Human,race
2,Yordle,race
3,Vastaya,race
4,Voidborn,race
5,Ascended,race
6,Darkin,race
7,Demon,race
8,Spirit,race
9,Undead,race
10,Golem/Robot,race
11,Cyborg,race
12,Dragon,race
13,Celestial/Aspect,race
14,Troll,race
15,Minotaur,race
16,Brackern,race
17,Animal/Beast,race
18,Mutant/Monster,race
19,Cute,impression
20,Beautiful/Elegant,impression
21,Handsome/Cool,impression
22,Tough/Macho,impression
23,Edgy/Dark,impression
24,Creepy/Horror,impression
25,Majestic,impression
26,Wild,impression
27,Male,gender
28,Female,gender
29,Genderless,gender
